sentences
bo zali ba ? akhuing ajo shua gunz an dua gute shahar ka ajo shua shahar an dua
ayash gulabi isxhqam manumbi akhuing
paqo sxhe cardboard ayi sxhe
Le halles sena go bo doro dua
ja ka un neme te doro net cchuren
ja acce bo bika gogga gucham
ja sattik khela neyamam ajo maza diya jagga ne nnyu halles ajo wali
ja gogga han baran siyama agar ggafa akuwayumba ka
un ajo gukhar thathall ayet be ka
Javayu 100 ggaring har jawane itas dua le akhuyng shaam khaasxh
Bess aye sxhe chhap she
ne sheghitan mull cce dis na darkut bull cce dis
ge aye sheng na
ja acce thosh mobile an bim
Ayar yatte dapherhkan nawall cxoqa amana
tayilc bathanan manisxh bulyainge baraan manisxh
Jawayu akhuyng shaam khaasxh berum echa llayuman ka girminas dua te yate ja echam
mo shua apu
mo shum apu
mo qabil apu
mo naqabel apu
mo gguriasxh apu
mo baleah apu
mo ballhas apu
mo div apu
mo shanther apu
mo dayus apu
mo bokhmusi apu
mo scxeli apu
mo doroskin apu
mo nazuk apu
mo mochoggon apu
mo muniyu apu
mo llenen apu
mo ajo apu
mo darvedacx apu
mo ggusanum apu
mo gaganum apu
mo muchhatt apu
mo muchhatt apu
mo dagganum apu
mo biyenum apu
mo mehergin apu
mo guccharas apu
mo guchhaas apu
mo diyeaas apu
mo gadaero apu
mo dustam apu
mo pininpongi apu
mo phatakin apu
mo pari apu
mo gareaas apu
mo heraas apu
mo duhullas apu
mo naang apu
mo gaseaas apu
mo girminchum apu
mo akhosh apu
mo garingkisxh apu
mo shua bu
mo shum bu
mo qabil bu
mo naqaabel bu
mo gguriasxh bu
mo baleah bu
mo ballhas bu
mo div bu
mo shantther bu
mo dayus bu
mo bokhmusi bu
mo scxeli bu
mo doroskin bu
mo nazuk bu
mo mochoggon bu
mo muniyu bu
mo llenen bu
mo ajo bu
mo darvedacx bu
mo ggusanum bu
mo gaganum bu
mo muchhatt bu
mo muchhatt bu
mo dagganum bu
mo biyenum bu
mo mehergin bu
mo guccharas bu
mo guchhas bu
mo diyeaas bu
mo gadaero bu
mo dustam bu
mo pininpongi bu
mo phatakin bu
mo pari bu
mo gareaas bu
mo heraas bu
mo duhullas bu
mo naang bu
mo gaseaas bu
mo girminchum bu
mo akhosh bu
mo garingkisxh bu
ne shua bai
ne shum bai
ne qabil bai
ne naqabel bai
ne gguriasxh bai
ne baleah bai
ne ballhas bai
ne div bai
ne shanther bai
ne dayus bai
ne bokhmusi bai
ne scxeli bai
ne doroskin bai
ne nazuk bai
ne nechoggon bai
ne muniyu bai
ne llenen bai
ne ajo bai
ne darvedacx bai
ne ggusanum bai
ne gaganum bai
ne muchhatt bai
ne muchhatt bai
ne dagganum bai
ne biyenum bai
ne mehergin bai
ne guccharas bai
ne guchhas bai
ne diyeaas bai
ne gadaero bai
ne dustam bai
ne pininpongi bai
ne phatakin bai
ne pari bai
ne gareaas bai
ne heraas bai
ne duhullas bai
ne naang bai
ne gaseaas bai
ne girminchum bai
ne akhosh bai
ne garingkisxh bai
ne shua apai
ne shum apai
ne qabil apai
ne naqabel apai
ne gguriasxh apai
ne baleah apai
ne ballhas apai
ne div apai
ne shanther apai
ne dayus apai
ne bokhmusi apai
ne scxeli apai
ne doroskin apai
ne nazuk apai
ne nechoggon apai
ne muniyu apai
ne llenen apai
ne ajo apai
ne darvedacx apai
ne ggusanum apai
ne gaganum apai
ne muchhatt apai
ne muchhatt apai
ne dagganum apai
ne biyenum apai
ne mehergin apai
ne guccharas apai
ne guchhas apai
ne diyeaas apai
ne gadaero apai
ne dustam apai
ne pininpongi apai
ne phatakin apai
ne pari apai
ne gareaas apai
ne heraas apai
ne duhullas apai
ne naang apai
ne gaseaas apai
ne girminchum apai
ne akhosh apai
ne garingkisxh apai
mo shua bam
mo shum bam
mo qabil bam
mo naqabel bam
mo gguriasxh bam
mo baleah bam
mo ballhas bam
mo div bam
mo shanther bam
mo dayus bam
mo bokhmusi bam
mo scxeli bam
mo doroskin bam
mo nazuk bam
mo mochoggon bam
mo muniyu bam
mo llenen bam
mo ajo bam
mo darvedacx bam
mo ggusanum bam
mo gaganum bam
mo muchhatt bam
mo muchhatt bam
mo dagganum bam
mo biyenum bam
mo mehergin bam
mo guccharas bam
mo guchhas bam
mo diyeaas bam
mo gadaero bam
mo dustam bam
mo pininpongi bam
mo phatakin bam
mo pari bam
mo gareaas bam
mo heraas bam
mo duhullas bam
mo naang bam
mo gaseaas bam
mo girminchum bam
mo akhosh bam
mo garingkisxh bam
ne shua bam
ne shum bam
ne qabil bam
ne naqabel bam
ne gguriasxh bam
ne baleah bam
ne ballhas bam
ne div bam
ne shanther bam
ne dayus bam
ne bokhmusi bam
ne scxeli bam
ne doroskin bam
ne nazuk bam
ne nechoggon bam
ne muniyu bam
ne llenen bam
ne ajo bam
ne darvedacx bam
ne ggusanum bam
ne gaganum bam
ne muchhatt bam
ne muchhatt bam
ne dagganum bam
ne biyenum bam
ne mehergin bam
ne guccharas bam
ne guchhas bam
ne diyeaas bam
ne gadaero bam
ne dustam bam
ne pininpongi bam
ne phatakin bam
ne pari bam
ne gareaas bam
ne heraas bam
ne duhullas bam
ne naang bam
ne gaseaas bam
ne girminchum bam
ne akhosh bam
ne garingkisxh bam
ne huk bi
ne hagor bi
ne motter bi
ne biya bi
ne halanz bi
ne yek api
ne shak api
ne dukan api
ne makaan api
ne hoi api
ne chhap api
nae huk bi
na huk bi
ajo huk bi
nae hagor bi
na hagor bi
ajo hagor bi
nae motter bi
na motter bi
ajo motter bi
nae biya bi
na biya bi
ajo biya bi
nae halanz bi
na halanz bi
ajo halanz bi
nae yek api
na yek api
ajo yek api
nae shak api
na shak api
ajo shak api
nae dukan api
na dukan api
ajo dukan api
nae makan api
na makan api
ajo makan api
nae hoi api
na hoi api
ajo hoi api
nae chhap api
na chhap api
ajo chhap api
mo mucxhan api
ja acxhan api
vae ucxhan api
mi micxhan api.
go gucxhan api.
ja asxhe shua
momo musxhe shua
ne sxhe shua
ve usxhe shua
se sxhe shua
ja asxhe be
momo musxhe be
ne sxhe be
ve usxhe be
se sxhe be
tata saattik jagga awui
tata saattik momogga muwui
tata saattik negga uwui
tata saattik vaegga uwui
tata yaarbullhtuk jagga awui
tata yaarbullhtuk momogga muwui
tata yaarbullhtuk negga uwui
tata yaarbullhtuk vaegga uwui
tata thamene jagga awui
tata thamene momogga muwui
tata thamene negga uwui
tata thamene vaegga uwui
tata shaama jagga awui
tata shaama momogga muwui
tata gucxattinga tatagga uwui
tata shaama nanamogga muwui
tata shaama vaegga uwui
lala saattik jagga awui
lala saattik momogga muwui
lala saattik negga uwui
lala saattik vaegga uwui
lala yaarbullhtuk jagga awui
lala yaarbullhtuk momogga muwui
lala yaarbullhtuk negga uwui
lala yaarbullhtuk vaegga uwui
lala thamene jagga awui
lala thamene momogga muwui
lala thamene negga uwui
lala thamene vaegga uwui
lala shaama jagga awui
lala shaama momogga muwui
